S,T,E,k_B,h,Observed_Variance,System_Type
38.07947176588889,56.354745722747275,2145.9589486232026,1.380649e-23,6.62607015e-34,-0.008779825867565611,Quantum
95.1207163345817,163.02838326612908,15507.37659914293,1.380649e-23,6.62607015e-34,-0.0082688035403986,Quantum
73.46740023932911,262.0108049270461,19249.252672604078,1.380649e-23,6.62607015e-34,-0.0022647889190152677,Classical
60.26718993550662,219.9352410364588,13254.878945055692,1.380649e-23,6.62607015e-34,0.003673655068161781,Classical
16.445845403801215,242.16178321057347,3982.555249389916,1.380649e-23,6.62607015e-34,0.009135846262332494,Quantum
16.443457513284063,197.9762266465045,3255.4136715020927,1.380649e-23,6.62607015e-34,-0.00803178950680345,Classical
6.750277604651747,207.9906927908379,1403.9949155219947,1.380649e-23,6.62607015e-34,0.014926885689595217,Quantum
86.75143843171858,254.90949981803047,22113.76577912405,1.380649e-23,6.62607015e-34,-0.0027112360104256878,Quantum
60.510386162577674,75.6507346488966,4577.655167087429,1.380649e-23,6.62607015e-34,-0.00021367294348436158,Classical
71.09918520180851,147.338064129299,10475.616308804969,1.380649e-23,6.62607015e-34,-0.007472116791478234,Classical
3.0378649352844422,67.14162310406107,203.96718252591089,1.380649e-23,6.62607015e-34,-0.024242402602729418,Quantum
97.02107536403744,296.31273439099743,28748.58013467297,1.380649e-23,6.62607015e-34,0.008840453963610497,Quantum
83.41182143924175,283.27374256629736,23628.37883336573,1.380649e-23,6.62607015e-34,0.007368438970924334,Classical
22.02157195714934,12.788616599183264,281.62544067130875,1.380649e-23,6.62607015e-34,-0.0028132755711821338,Quantum
19.00067175350296,211.96697658219085,4027.514944620657,1.380649e-23,6.62607015e-34,0.0006699071722487192,Classical
19.15704647548995,277.64924690728407,5318.939526887625,1.380649e-23,6.62607015e-34,0.005159392177040994,Quantum
31.119982052994235,54.99202819307273,1711.3509304261763,1.380649e-23,6.62607015e-34,-0.01562545856886543,Classical
52.950886731591545,170.8156239352362,9044.83875498083,1.380649e-23,6.62607015e-34,-0.0052905267734629485,Quantum
43.76255684556946,274.7310009788245,12022.931047576007,1.380649e-23,6.62607015e-34,0.007942646796218271,Quantum
29.83168487960615,11.149847597153853,332.6187399739276,1.380649e-23,6.62607015e-34,-0.012542894231692494,Classical
